company,sector,city,career_url,source
Ceconomy AG,Consumer Electronics,Düsseldorf,https://www.ceconomy.de/en/careers/,corporate
Deutsche Pfandbriefbank AG,Corporate Banking,Munich,https://www.pfandbriefbank.com/en/career.html,corporate
ABB AG,Industrial Automation,Mannheim,https://careers.abb/global/en,corporate
ALTANA AG,Specialty Chemicals,Wesel,https://www.altana.com/careers.html,corporate
Dürr AG,Machinery & Equipment,Stuttgart,https://www.durr-group.com/en/careers,corporate
Klüber Lubrication,Industrial Lubricants,Munich,https://www.klueber.com/en/about-us/career/,corporate
EnBW AG,Energy Generation,Karlsruhe,https://www.enbw.com/unternehmen/karriere/,corporate
KWS SAAT SE & Co.,Agricultural Biotech,Einbeck,https://www.kws.com/corp/en/careers/,corporate
Axel Springer SE,Digital Media,Berlin,https://career.axelspringer.com/,corporate
Rheinmetall AG,Defense & Automotive,Düsseldorf,https://www.rheinmetall.com/en/career,corporate
Fielmann AG,Optics & Eyewear,Hamburg,https://www.fielmann-karriere.com/,corporate
Schaeffler AG,Automotive / Industrial,Herzogenaurach,https://www.schaeffler.com/en/career/,corporate
TRUMPF GmbH + Co. KG,Machine Tools,Ditzingen,https://www.trumpf.com/en_INT/career/,corporate
Commerzbank AG,Banking & Finance,Frankfurt,https://jobs.commerzbank.com/,corporate
TÜV Rheinland AG,Testing / Certification,Cologne,https://www.tuv.com/world/en/careers/,corporate
Linde plc,Industrial Gases,Munich,https://www.linde.com/careers,corporate
Vodafone GmbH,Telecommunications,Düsseldorf,https://careers.vodafone.com/,corporate
Wintershall Dea GmbH,Oil and Gas,Kassel,https://wintershalldea.com/en/careers,corporate
Uniper SE,Utilities & Energy,Düsseldorf,https://www.uniper.energy/career,corporate
Nordex SE,Renewable Energy,Hamburg,https://www.nordex-online.com/en/career/,corporate
adidas AG,Apparel and Footwear,Herzogenaurach,https://careers.adidas-group.com/,corporate
MANN+HUMMEL GmbH,Automotive Filters,Ludwigsburg,https://www.mann-hummel.com/en/career.html,corporate
QIAGEN N.V.,Biotechnology,Hilden (HQ Venlo),https://corporate.qiagen.com/careers/,corporate
BurdaForward,AdTech,Munich,https://www.burda-forward.de/en/career/jobs/,startup
trbo,AdTech,Munich,https://www.trbo.com/careers/,startup
Combyne,App Tech,Munich,https://www.combyne.com/careers/,startup
Freeletics,Health & Fitness AI,Munich,https://www.freeletics.com/en/corporate/,startup
MING Labs,Digital Innovation,Munich,https://minglabs.com/careers/,startup
BetterTaxi,Mobility,Munich,https://www.bettertaxi.com/jobs/,startup
FAZUA,Automotive Tech,Munich,https://fazua.com/en/company/jobs/,startup
Fleetster,Automotive SaaS,Munich,https://fleetster.breezy.hr/,startup
FlixBus,Travel & Mobility,Munich,https://flix.careers/job,startup
ParkHere,Smart Mobility,Munich,https://park-here.eu/karriere/,startup
SIXT,Mobility Provider,Munich,https://www.sixt.jobs/en/,startup
Adobe (German Hub),BigTech,Munich,https://careers.adobe.com/us/en/,startup
Cisco (German Hub),Networking,Munich,https://jobs.cisco.com/jobs/,startup
Google (German Hub),BigTech,Munich,https://careers.google.com/,startup
Hubert Burda Media,Media Tech,Munich,https://www.burda.com/de/karriere/,startup
IBM (German Hub),BigTech,Munich,https://www.ibm.com/careers/de-de/,startup
mgm technology partners,Enterprise Software,Munich,https://jobs.mgm-tp.com/jobs.html,startup
Microsoft (German Hub),Software,Munich,https://careers.microsoft.com/v2/global/en/home.html,startup
Rohde & Schwarz,Telecommunications,Munich,https://www.rohde-schwarz.com/de/karriere/stellenangebote/karriere-stellenangebote_251573.html,startup
Thoughtworks (Germany),IT Consulting,Munich,https://www.thoughtworks.com/de-de/careers/,startup
Yahoo (German Hub),Internet Media,Munich,https://www.yahooinc.com/careers/,startup
Amazon (German Hub),Cloud & E-commerce,Munich,https://www.amazon.jobs/en/,startup
NFON,Telecommunications,Munich,https://corporate.nfon.com/en/careers/careers/,startup
Datarella,Blockchain,Munich,https://datarella.com/careers/,startup
Building Radar,Data Analysis,Munich,https://buildingradar.com/career/,startup
CHECK24,Comparison Portal,Munich,https://jobs.check24.de/en/jobs/,startup
commercetools,eCommerce,Munich,https://commercetools.com/careers/jobs/,startup
CUPONATION (GSG),eCommerce,Munich,https://www.global-savings-group.com/careers/,startup
givve,B2B FinTech,Munich,https://givve.com/de/karriere/,startup
limango,eCommerce,Munich,https://www.limango.de/jobs/,startup
lingoking,eCommerce Services,Munich,https://www.lingoking.com/en/about-us/jobs,startup
Mytheresa,Luxury Fashion,Munich,https://career.mytheresa.com/en/open-positions/,startup
Planet Sports,eCommerce,Munich,https://www.planet-sports.de/c/planet-sports-inside/jobs/,startup
Scout24,Real Estate Portal,Munich,https://www.scout24.com/en/career/jobs,startup
VITAFY,Nutrition eCommerce,Munich,https://vitafybrands.de/,startup
Westwing,Home & Living,Munich,https://www.westwing.com/careers/,startup
Aboalarm,FinTech,Munich,https://www.aboalarm.de/alle-jobs/,startup
Bilendo,B2B FinTech,Munich,https://www.bilendo.de/unternehmen/karriere/,startup
Boku,Mobile Payments,Munich,https://www.boku.com/careers/,startup
Gini,AI Payments,Munich,https://gini.net/ueber-gini/#jobs,startup
Interhyp,Mortgage Brokerage,Munich,https://jobs.interhyp.de/,startup
PAYBACK,FinTech Loyalty,Munich,https://jobs.payback.group/en_US/careers/,startup
MegaZebra,Mobile Gaming,Munich,https://www.megazebra.com/careers/open-positions/,startup
Travian Games,Computer Games,Munich,https://traviangames.com/en/jobs/,startup
Cobrainer,HR Tech,Munich,https://www.cobrainer.com/open-position#career,startup
Personio,HR Software,Munich,https://www.personio.com/about-personio/careers/,startup
Speexx,Digital Learning,Munich,https://www.speexx.com/all-jobs/,startup
Bragi,IoT Audio,Munich,https://www.bragi.com/careers/,startup
Cosinuss,MedTech Wearables,Munich,https://www.cosinuss.com/en/jobs/,startup
EGYM DACH,Fitness IoT,Munich,https://egym.com/us/jobs,startup
KINEXON,IoT Logistics,Munich,https://kinexon.com/jobs/,startup
KONUX,Railway Analytics,Munich,https://www.konux.com/careers/,startup
ProGlove,Industrial IoT,Munich,https://proglove.com/careers/#open-positions,startup
tacterion,Sensor Tech,Munich,https://www.tacterion.com/company/career/,startup
tado°,Smart Home IoT,Munich,https://apply.workable.com/tado/#jobs,startup
3megawatt,Renewable Energy,Munich,https://powerfactors.com/careers/,startup
Elgato,A/V Tech,Munich,https://www.elgato.com/us/en/s/careers,startup
innosabi,Innovation Software,Munich,https://innosabi.com/career/,startup
JetBrains (German Hub),Developer Tools,Munich,https://www.jetbrains.com/careers/jobs/,startup
Userlane,Digital Adoption,Munich,https://www.userlane.com/about/careers/,startup
SimScale,Cloud Simulation,Munich,https://www.simscale.com/jobs/,startup
Testbirds,Crowdtesting,Munich,https://www.testbirds.com/en/careers/jobs/,startup
adnymics,Printvertising,Munich,https://parceldealz.com/uber-uns/#karriere,startup
censhare,Content Platform,Munich,https://www.censhare.com/de/karriere/,startup
parcelLab,Marketing Tech,Munich,https://parcellab.com/jobs/,startup
XAD spoteffects,TV Ad Tech,Munich,https://xadspoteffects.com/karriere#page-content/,startup
VEACT,Marketing,Munich,https://www.joinveact.net/,startup
ysura,Pharma CRM,Munich,https://ysura.hire.trakstar.com/,startup
Brainlab,MedTech,Munich,https://www.brainlab.com/career/jobs/,startup
jameda,Health Portal,Munich,https://www.docplanner.com/career/,startup
ottonova,Digital Health Insurance,Munich,https://www.ottonova.de/unternehmen/jobs/,startup
IDnow,Identity Verification,Munich,https://www.idnow.io/career/,startup
riskmethods (Sphera),Supply Chain,Munich,https://sphera.com/careers/,startup
HolidayCheck,Travel Tech,Munich,https://holidaycheck.jobs.personio.de/?language=en,startup
Holidu,Travel Tech,Munich,https://www.holidu.com/careers/list,startup
Regiondo,Booking Systems,Munich,https://pro.regiondo.com/careers/,startup
ICAROS,VR Fitness,Munich,https://www.icaros.com/en/,startup
Inflight VR,VR Tech,Munich,https://www.inflight-vr.com/about#careers,startup
Innoactive,XR Platforms,Munich,https://www.innoactive.io/career/,startup
New Work SE,HR Tech,Hamburg,https://www.new-work.se/en/career,startup
Open-Xchange,Open Source,Nuremberg,https://www.open-xchange.com/about-ox/careers/,startup
ownCloud,Cloud Storage,Nuremberg,https://owncloud.com/careers/,startup
PicDrop,Image Transfer SaaS,Berlin,https://www.picdrop.com/web/en/jobs,startup
INNOQ,Consulting,Remote,https://www.innoq.com/en/careers/,startup
Inpsyde,WP Agency,Bergisch Gladbach,https://inpsyde.com/careers/,startup
inter.link,Network-as-a-Service,Berlin,https://inter.link/careers,startup
Jaumo,Social App,Göppingen,https://careers.jaumo.com/,startup
BRYTER,No-Code SaaS,Frankfurt,https://bryter.com/careers/,startup
BVV,Financial Pensions,Berlin,https://www.bvv.de/karriere/,startup
calimoto,Navigation,Potsdam,https://calimoto.com/en/jobs,startup
cloud37,Cloud IT,Remote,https://cloud37.de/karriere/,startup
Conceptboard,Visual Collaboration,Stuttgart,https://conceptboard.com/careers/,startup
Crate.io,Data Management,Berlin,https://crate.io/about/careers,startup
Hetzner Cloud GmbH,Web Hosting,Unterföhring,https://www.hetzner.com/unternehmen/karriere/,startup
Implisense,B2B AI,Berlin,https://implisense.com/en/career,startup
IMA Schelling Group,Industrial Machinery,Lübbecke,https://www.imaschelling.com/,startup
Eyeo,Ad-blocking Tech,Cologne,https://eyeo.com/careers,startup
finstreet,FinTech Consulting,Münster,https://www.finstreet.de/karriere/,startup
GetTechTalent,Tech Recruiting,Berlin,https://www.gettechtalent.com/,startup
Giant Swarm,Cloud Infrastructure,Cologne,https://giantswarm.io/careers/,startup
SuSE,Open Source OS,Nuremberg,https://www.suse.com/company/careers/,startup
SysEleven,Managed Hosting,Berlin,https://www.syseleven.de/karriere/,startup
TIMOCOM,Freight Logistics,Düsseldorf,https://www.timocom.com/career,startup
Travello,Audio Tech,Pinneberg,https://www.travello.audio/,startup
ETECTURE,Digital Architecture,Frankfurt,https://www.etecture.de/karriere/,startup
Travis CI,CI/CD Software,Berlin,https://travis-ci.org/,startup
Uberspace,Cloud Hosting,Mainz,https://uberspace.de/en/jobs/,startup
virtualQ,Customer Service AI,Stuttgart,https://virtualq.io/karriere/,startup
Wolt (German Hub),Delivery Logistics,Berlin,https://careers.wolt.com/,startup
X-FAB,Semiconductor Foundry,Erfurt,https://www.xfab.com/about-us/careers,startup
L21s,Digital Consulting,Remote,https://www.l21s.de/,startup
Truecaller (German Hub),Telecommunications,Berlin,https://www.truecaller.com/careers/jobs,startup
Project A Ventures,Venture Capital,Berlin,https://www.project-a.com/careers/,startup
Sunday GmbH,Gaming Software,Hamburg,https://sunday.gg/jobs/,startup
justtrack,Marketing Analytics,Hamburg,https://justtrack.io/careers/,startup
FRIDAY,Digital Insurance,Berlin,https://www.friday.de/unternehmen/karriere,startup
justDice,Mobile Gaming,Hamburg,https://justdice.io/jobs/,startup
Kaufland e-commerce,Retail Tech,Cologne,https://kaufland-ecommerce.com/en/career/jobs/,startup
komoot,Outdoor Navigation,Potsdam,https://www.komoot.com/jobs,startup
Lexware (Haufe Group),Financial Software,Freiburg,https://jobs.haufegroup.com/search?company=Lexware,startup
Lingoda,EdTech,Berlin,https://www.lingoda.com/en/careers/,startup
Link11,Cybersecurity,Frankfurt,https://www.link11.com/en/careers/,startup
Lyska,IT Services,Offenbach,https://www.lyska.de/,startup
taxfix,FinTech,Berlin,https://taxfix.de/en/careers/,startup
Forto,Digital Logistics,Berlin,https://forto.com/en/careers/,startup
raisin,FinTech Deposits,Berlin,https://www.raisin.com/careers/,startup
Rows,Data Tooling & SaaS,Berlin,https://rows.com/about/careers,startup
Alasco,Construction Tech,Munich,https://www.alasco.de/karriere/,startup
Solvians,IT Solutions,Frankfurt,https://www.solvians.com/career,startup
Babbel,Language Learning,Berlin,https://jobs.babbel.com/,startup
Payrails,FinTech Payments,Berlin,https://www.payrails.com/careers,startup
ROSE Bikes GmbH,Bicycle E-commerce,Bocholt,https://karriere.rosebikes.de/en/,startup
Deutsche Windtechnik,Wind Energy,Bremen,https://jobs-nl.deutsche-windtechnik.com/,startup
OM Digital Solutions,Digital Tech,Hamburg,https://om-digitalsolutions.career.softgarden.de/,startup
Delivery Hero,Food Delivery,Berlin,https://careers.deliveryhero.com/,startup
N26,Digital Neobanking,Berlin,https://n26.com/en-de/careers,startup
Klarna (German Hub),Payments & Credit,Berlin,https://www.klarna.com/careers/,startup
Wayfair (German Hub),E-commerce,Berlin,https://www.wayfaircareers.com/,startup
Signavio (SAP),Process Mining SaaS,Berlin,https://www.signavio.com/careers/,startup
Free Now,Mobility Solutions,Hamburg,https://free-now.com/uk/careers/,startup
Trivago,Travel Tech,Düsseldorf,https://company.trivago.com/careers/,startup
Blinkist,EdTech,Berlin,https://www.blinkist.com/en/about/jobs,startup
Applike Group,App Technologies,Hamburg,https://applike-group.com/jobs,startup
Berlin Brands Group,E-commerce Aggregation,Berlin,https://www.berlinbrandsgroup.com/en/career,startup
RapidAPI (German Hub),API Management,Berlin,https://rapidapi.com/careers/,startup
Brighter AI,Privacy Technology,Berlin,https://brighter.ai/careers/,startup
Jimdo,Website Builder,Hamburg,https://www.jimdo.com/careers/,startup
Storyblok,Headless CMS,Remote,https://www.storyblok.com/jobs,startup
Zalando,Fashion E-commerce,Berlin,https://jobs.zalando.com/en/jobs/,startup
SoundCloud,Audio Streaming,Berlin,https://careers.soundcloud.com/,startup
straiv,Hospitality Tech,Stuttgart,https://straiv.io/en/career/,startup
Auto1 Group,Automotive E-commerce,Berlin,https://auto1-group.com/careers/,startup
Tier Mobility,Micro-Mobility,Berlin,https://career.tier.app/,startup
HelloFresh,Food & Meal Kits,Berlin,https://www.hellofresh.com/careers/,startup
Gorillas,Delivery Logistics,Berlin,https://www.gorillas.io/en/careers,startup
Sennder,Digital Freight,Berlin,https://sennder.com/careers,startup
Trade Republic,FinTech Brokerage,Berlin,https://traderepublic.com/en-de/careers,startup
Scalable Capital,FinTech Wealth,Munich,https://scalablerecapital.com/careers,startup
Wefox,InsurTech,Berlin,https://www.wefox.com/en-de/careers,startup
Pitch,Presentation SaaS,Berlin,https://pitch.com/about/careers,startup
Contentful,Headless CMS,Berlin,https://www.contentful.com/careers/,startup
DeepL,AI Translation,Cologne,https://www.deepl.com/en/jobs/,startup
CoachHub,Digital Coaching,Berlin,https://www.coachhub.com/careers/,startup
Grover,Tech Subscriptions,Berlin,https://www.grover.com/careers,startup
Enpal,Renewable Energy,Berlin,https://www.enpal.com/careers,startup
Volocopter,Urban Air Mobility,Bruchsal,https://www.volocopter.com/careers/,startup
Lilium,Aviation Tech,Munich,https://www.lilium.com/careers,startup
Isar Aerospace,Space Tech,Munich,https://isar-aerospace.com/careers,startup
Infarm,AgriTech,Berlin,https://infarm.com/careers,startup
Mambu,Core Banking SaaS,Berlin,https://www.mambu.com/careers,startup
Omio,Travel Tech,Berlin,https://www.omio.com/jobs,startup
Tourlane,Travel Booking,Berlin,https://www.tourlane.com/careers/,startup
GetYourGuide,Travel & Tourism,Berlin,https://www.getyourguide.careers/,startup
Chrono24,Luxury E-commerce,Karlsruhe,https://www.chrono24.com/about/career.htm,startup
Flix,Transportation,Munich,https://flix.careers/,startup
About You,Fashion E-commerce,Hamburg,https://corporate.aboutyou.de/en/jobs,startup
Flaconi,Beauty E-commerce,Berlin,https://corporate.flaconi.de/career/,startup
Emma - The Sleep Company,D2C Retail,Frankfurt,https://team.emma-sleep.com/,startup
NuCom Group,Digital Commerce,Unterföhring,https://nucom.group/en/career,startup
Tonies,Kids Audio Tech,Düsseldorf,https://tonies.com/en-gb/careers/,startup
Solarisbank,Banking-as-a-Service,Berlin,https://www.solarisgroup.com/en/careers/,startup
Clark,Digital Insurance,Frankfurt,https://www.clark.de/en/careers/,startup
Taxdoo,Financial Compliance,Hamburg,https://taxdoo.com/en/career/,startup
Moonfare,Wealth Management,Berlin,https://www.moonfare.com/careers,startup
Staffbase,Internal Comms SaaS,Chemnitz,https://www.staffbase.com/jobs/,startup
LeanIX,Enterprise Architecture,Bonn,https://www.leanix.net/en/company/careers,startup
Camunda,Process Automation,Berlin,https://www.camunda.com/careers/,startup
Spryker,B2B Commerce OS,Berlin,https://www.spryker.com/careers,startup
Ecosia,Search Engine,Berlin,https://ecosia.co/jobs,startup
ResearchGate,Science Networking,Berlin,https://www.researchgate.net/careers,startup
Choco,Food Supply Chain,Berlin,https://www.choco.com/careers,startup
Vinted (German Hub),Circular Economy,Berlin,https://corporate.vinted.com/careers/,startup
Flink,Instant Grocery,Berlin,https://flink.com/en/careers,startup
Xentral,ERP Software,Augsburg,https://xentral.com/en/careers,startup
SellerX,E-commerce Roll-up,Berlin,https://www.sellerx.com/careers/,startup
Razor Group,E-commerce Brand Aggregator,Berlin,https://razor-group.com/careers/,startup
Zeitgold,FinTech Accounting,Berlin,https://zeitgold.com/careers/,startup
